  oid  |    table_schema    |            table_name            | row_estimate | total_bytes | index_bytes | toast_bytes | table_bytes |   total    |   index    |   toast    |   table    
 49637 | public             | header_1980_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49648 | public             | header_1980_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49659 | public             | header_1980_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49670 | public             | header_1981_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49681 | public             | header_1981_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49692 | public             | header_1981_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49703 | public             | header_1981_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49714 | public             | header_1982_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49725 | public             | header_1982_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49736 | public             | header_1982_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49747 | public             | header_1982_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49758 | public             | header_1983_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49769 | public             | header_1983_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49780 | public             | header_1983_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49791 | public             | header_1983_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49802 | public             | header_1984_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49813 | public             | header_1984_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49824 | public             | header_1984_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49835 | public             | header_1984_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49846 | public             | header_1985_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49857 | public             | header_1985_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49868 | public             | header_1985_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49879 | public             | header_1985_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49890 | public             | header_1986_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49901 | public             | header_1986_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49912 | public             | header_1986_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49923 | public             | header_1986_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49934 | public             | header_1987_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49945 | public             | header_1987_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49956 | public             | header_1987_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49967 | public             | header_1987_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49978 | public             | header_1988_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 49989 | public             | header_1988_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50000 | public             | header_1988_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50011 | public             | header_1988_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50022 | public             | header_1989_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50033 | public             | header_1989_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50044 | public             | header_1989_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50055 | public             | header_1989_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50066 | public             | header_1990_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50077 | public             | header_1990_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50088 | public             | header_1990_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50099 | public             | header_1990_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50110 | public             | header_1991_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50121 | public             | header_1991_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50132 | public             | header_1991_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50143 | public             | header_1991_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50154 | public             | header_1992_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50165 | public             | header_1992_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50176 | public             | header_1992_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50187 | public             | header_1992_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50198 | public             | header_1993_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50209 | public             | header_1993_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50220 | public             | header_1993_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50231 | public             | header_1993_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50242 | public             | header_1994_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50253 | public             | header_1994_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50264 | public             | header_1994_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50275 | public             | header_1994_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50286 | public             | header_1995_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50297 | public             | header_1995_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50308 | public             | header_1995_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50319 | public             | header_1995_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50330 | public             | header_1996_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50341 | public             | header_1996_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50352 | public             | header_1996_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50363 | public             | header_1996_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50374 | public             | header_1997_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50385 | public             | header_1997_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50396 | public             | header_1997_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50407 | public             | header_1997_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50418 | public             | header_1998_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50429 | public             | header_1998_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50440 | public             | header_1998_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50451 | public             | header_1998_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50462 | public             | header_1999_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50473 | public             | header_1999_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50484 | public             | header_1999_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50495 | public             | header_1999_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50506 | public             | header_2000_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50517 | public             | header_2000_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50528 | public             | header_2000_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50539 | public             | header_2000_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50550 | public             | header_2001_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50561 | public             | header_2001_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50572 | public             | header_2001_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50583 | public             | header_2001_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50594 | public             | header_2002_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50605 | public             | header_2002_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50616 | public             | header_2002_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50627 | public             | header_2002_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50638 | public             | header_2003_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50649 | public             | header_2003_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50660 | public             | header_2003_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50671 | public             | header_2003_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50682 | public             | header_2004_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50693 | public             | header_2004_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50704 | public             | header_2004_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50715 | public             | header_2004_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50726 | public             | header_2005_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50737 | public             | header_2005_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50748 | public             | header_2005_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50759 | public             | header_2005_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50770 | public             | header_2006_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50781 | public             | header_2006_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50792 | public             | header_2006_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50803 | public             | header_2006_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50814 | public             | header_2007_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50825 | public             | header_2007_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50836 | public             | header_2007_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50847 | public             | header_2007_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50858 | public             | header_2008_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50869 | public             | header_2008_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50880 | public             | header_2008_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50891 | public             | header_2008_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50902 | public             | header_2009_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50913 | public             | header_2009_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50924 | public             | header_2009_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50935 | public             | header_2009_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50946 | public             | header_2010_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50957 | public             | header_2010_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50968 | public             | header_2010_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50979 | public             | header_2010_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 50990 | public             | header_2011_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51001 | public             | header_2011_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51012 | public             | header_2011_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51023 | public             | header_2011_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51034 | public             | header_2012_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51045 | public             | header_2012_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51056 | public             | header_2012_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51067 | public             | header_2012_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51078 | public             | header_2013_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51089 | public             | header_2013_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51100 | public             | header_2013_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51111 | public             | header_2013_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51122 | public             | header_2014_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51133 | public             | header_2014_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51144 | public             | header_2014_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51155 | public             | header_2014_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51166 | public             | header_2015_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51177 | public             | header_2015_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51188 | public             | header_2015_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51199 | public             | header_2015_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51210 | public             | header_2016_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51221 | public             | header_2016_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51232 | public             | header_2016_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51243 | public             | header_2016_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51254 | public             | header_2017_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51265 | public             | header_2017_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51276 | public             | header_2017_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51287 | public             | header_2017_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51298 | public             | header_2018_land_0               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51309 | public             | header_2018_land_1               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51320 | public             | header_2018_land_2               |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51331 | public             | header_2018_marine_0             |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51344 | public             | observations_1800_land_0         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51355 | public             | observations_1800_land_1         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51366 | public             | observations_1800_land_2         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51377 | public             | observations_1800_marine_0       |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51388 | public             | observations_1801_land_0         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51399 | public             | observations_1801_land_1         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51410 | public             | observations_1801_land_2         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51421 | public             | observations_1801_marine_0       |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51432 | public             | observations_1802_land_0         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51443 | public             | observations_1802_land_1         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51454 | public             | observations_1802_land_2         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51465 | public             | observations_1802_marine_0       |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51476 | public             | observations_1803_land_0         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51487 | public             | observations_1803_land_1         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51498 | public             | observations_1803_land_2         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51509 | public             | observations_1803_marine_0       |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51520 | public             | observations_1804_land_0         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51531 | public             | observations_1804_land_1         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51542 | public             | observations_1804_land_2         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51553 | public             | observations_1804_marine_0       |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51564 | public             | observations_1805_land_0         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51575 | public             | observations_1805_land_1         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51586 | public             | observations_1805_land_2         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51597 | public             | observations_1805_marine_0       |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51608 | public             | observations_1806_land_0         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51619 | public             | observations_1806_land_1         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51630 | public             | observations_1806_land_2         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51641 | public             | observations_1806_marine_0       |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51652 | public             | observations_1807_land_0         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51663 | public             | observations_1807_land_1         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51674 | public             | observations_1807_land_2         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51685 | public             | observations_1807_marine_0       |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51696 | public             | observations_1808_land_0         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51707 | public             | observations_1808_land_1         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51718 | public             | observations_1808_land_2         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51729 | public             | observations_1808_marine_0       |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51740 | public             | observations_1809_land_0         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51751 | public             | observations_1809_land_1         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51762 | public             | observations_1809_land_2         |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
 51773 | public             | observations_1809_marine_0       |            0 |       16384 |        8192 |        8192 |           0 | 16 kB      | 8192 bytes | 8192 bytes | 0 bytes
