domain,report_type,variable,data_policy_licence,quality_flag,year,month,count
marine,0,36,0,0,1957,09, 640313
marine,0,36,0,0,1957,10, 624309
marine,0,36,0,0,1957,11, 605201
marine,0,36,0,0,1957,12, 589756
marine,0,36,0,0,1958,01, 592039
marine,0,36,0,0,1958,02, 558394
marine,0,36,0,0,1958,03, 630777
marine,0,36,0,0,1958,04, 605277
marine,0,36,0,0,1958,05, 652442
marine,0,36,0,0,1958,06, 645338
marine,0,36,0,0,1958,07, 688322
marine,0,36,0,0,1958,08, 666053
marine,0,36,0,0,1958,09, 642216
marine,0,36,0,0,1958,10, 665559
marine,0,36,0,0,1958,11, 638247
marine,0,36,0,0,1958,12, 618681
marine,0,36,0,0,1959,01, 618571
marine,0,36,0,0,1959,02, 578832
marine,0,36,0,0,1959,03, 635040
marine,0,36,0,0,1959,04, 596400
marine,0,36,0,0,1959,05, 655661
marine,0,36,0,0,1959,06, 659383
marine,0,36,0,0,1959,07, 680242
marine,0,36,0,0,1959,08, 677758
marine,0,36,0,0,1959,09, 632257
marine,0,36,0,0,1959,10, 648483
marine,0,36,0,0,1959,11, 651506
marine,0,36,0,0,1959,12, 650369
marine,0,36,0,0,1960,01, 659018
marine,0,36,0,0,1960,02, 657129
marine,0,36,0,0,1960,03, 696708
marine,0,36,0,0,1960,04, 638521
marine,0,36,0,0,1960,05, 673594
marine,0,36,0,0,1960,06, 688578
marine,0,36,0,0,1960,07, 712784
marine,0,36,0,0,1960,08, 681811
marine,0,36,0,0,1960,09, 675755
marine,0,36,0,0,1960,10, 698827
marine,0,36,0,0,1960,11, 676242
marine,0,36,0,0,1960,12, 668498
marine,0,36,0,0,1961,01, 737029
marine,0,36,0,0,1961,02, 702095
marine,0,36,0,0,1961,03, 771333
marine,0,36,0,0,1961,04, 747417
marine,0,36,0,0,1961,05, 763852
marine,0,36,0,0,1961,06, 741476
marine,0,36,0,0,1961,07, 726656
marine,0,36,0,0,1961,08, 750000
marine,0,36,0,0,1961,09, 725542
marine,0,36,0,0,1961,10, 732933
marine,0,36,0,0,1961,11, 713578
marine,0,36,0,0,1961,12, 710122
marine,0,36,0,0,1962,01, 724399
marine,0,36,0,0,1962,02, 686506
marine,0,36,0,0,1962,03, 757096
marine,0,36,0,0,1962,04, 713385
marine,0,36,0,0,1962,05, 751980
marine,0,36,0,0,1962,06, 739003
marine,0,36,0,0,1962,07, 751071
marine,0,36,0,0,1962,08, 758826
marine,0,36,0,0,1962,09, 712565
marine,0,36,0,0,1962,10, 765512
marine,0,36,0,0,1962,11, 737146
marine,0,36,0,0,1962,12, 691710
marine,0,36,0,0,1963,01, 746542
marine,0,36,0,0,1963,02, 720841
marine,0,36,0,0,1963,03, 861505
marine,0,36,0,0,1963,04, 827381
marine,0,36,0,0,1963,05, 852524
marine,0,36,0,0,1963,06, 829868
marine,0,36,0,0,1963,07, 806557
marine,0,36,0,0,1963,08, 824134
marine,0,36,0,0,1963,09, 794287
marine,0,36,0,0,1963,10, 839529
marine,0,36,0,0,1963,11, 789809
marine,0,36,0,0,1963,12, 788439
marine,0,36,0,0,1964,01, 802619
marine,0,36,0,0,1964,02, 793535
marine,0,36,0,0,1964,03, 886220
marine,0,36,0,0,1964,04, 855675
marine,0,36,0,0,1964,05, 909986
marine,0,36,0,0,1964,06, 890396
marine,0,36,0,0,1964,07, 905162
marine,0,36,0,0,1964,08, 918086
marine,0,36,0,0,1964,09, 884424
marine,0,36,0,0,1964,10, 900544
marine,0,36,0,0,1964,11, 883735
marine,0,36,0,0,1964,12, 849405
marine,0,36,0,0,1965,01, 878566
marine,0,36,0,0,1965,02, 805040
marine,0,36,0,0,1965,03, 957486
marine,0,36,0,0,1965,04, 956462
marine,0,36,0,0,1965,05, 1010594
marine,0,36,0,0,1965,06, 976635
marine,0,36,0,0,1965,07, 978307
marine,0,36,0,0,1965,08, 989786
marine,0,36,0,0,1965,09, 944081
marine,0,36,0,0,1965,10, 976409
marine,0,36,0,0,1965,11, 922520
marine,0,36,0,0,1965,12, 900023
marine,0,36,0,0,1966,01, 925215
