domain,report_type,variable,data_policy_licence,quality_flag,year,month,count
land,0,36,0,0,1789,08,     0
land,0,36,0,0,1789,09,     0
land,0,36,0,0,1789,10,     0
land,0,36,0,0,1789,11,     0
land,0,36,0,0,1789,12,     0
land,0,36,0,0,1790,01,     0
land,0,36,0,0,1790,02,     0
land,0,36,0,0,1790,03,     0
land,0,36,0,0,1790,04,     0
land,0,36,0,0,1790,05,     0
land,0,36,0,0,1790,06,     0
land,0,36,0,0,1790,07,     0
land,0,36,0,0,1790,08,     0
land,0,36,0,0,1790,09,     0
land,0,36,0,0,1790,10,     0
land,0,36,0,0,1790,11,     0
land,0,36,0,0,1790,12,     0
land,0,36,0,0,1791,01,     0
land,0,36,0,0,1791,02,     0
land,0,36,0,0,1791,03,     0
land,0,36,0,0,1791,04,     0
land,0,36,0,0,1791,05,     0
land,0,36,0,0,1791,06,     0
land,0,36,0,0,1791,07,     0
land,0,36,0,0,1791,08,     0
land,0,36,0,0,1791,09,     0
land,0,36,0,0,1791,10,     0
land,0,36,0,0,1791,11,     0
land,0,36,0,0,1791,12,     0
land,0,36,0,0,1792,01,     0
land,0,36,0,0,1792,02,     0
land,0,36,0,0,1792,03,     0
land,0,36,0,0,1792,04,     0
land,0,36,0,0,1792,05,     0
land,0,36,0,0,1792,06,     0
land,0,36,0,0,1792,07,     0
land,0,36,0,0,1792,08,     0
land,0,36,0,0,1792,09,     0
land,0,36,0,0,1792,10,     0
land,0,36,0,0,1792,11,     0
land,0,36,0,0,1792,12,     0
land,0,36,0,0,1793,01,     0
land,0,36,0,0,1793,02,     0
land,0,36,0,0,1793,03,     0
land,0,36,0,0,1793,04,     0
land,0,36,0,0,1793,05,     0
land,0,36,0,0,1793,06,     0
land,0,36,0,0,1793,07,     0
land,0,36,0,0,1793,08,     0
land,0,36,0,0,1793,09,     0
land,0,36,0,0,1793,10,     0
land,0,36,0,0,1793,11,     0
land,0,36,0,0,1793,12,     0
land,0,36,0,0,1794,01,     0
land,0,36,0,0,1794,02,     0
land,0,36,0,0,1794,03,     0
land,0,36,0,0,1794,04,     0
land,0,36,0,0,1794,05,     0
land,0,36,0,0,1794,06,     0
land,0,36,0,0,1794,07,     0
land,0,36,0,0,1794,08,     0
land,0,36,0,0,1794,09,     0
land,0,36,0,0,1794,10,     0
land,0,36,0,0,1794,11,     0
land,0,36,0,0,1794,12,     0
land,0,36,0,0,1795,01,     0
land,0,36,0,0,1795,02,     0
land,0,36,0,0,1795,03,     0
land,0,36,0,0,1795,04,     0
land,0,36,0,0,1795,05,     0
land,0,36,0,0,1795,06,     0
land,0,36,0,0,1795,07,     0
land,0,36,0,0,1795,08,     0
land,0,36,0,0,1795,09,     0
land,0,36,0,0,1795,10,     0
land,0,36,0,0,1795,11,     0
land,0,36,0,0,1795,12,     0
land,0,36,0,0,1796,01,     0
land,0,36,0,0,1796,02,     0
land,0,36,0,0,1796,03,     0
land,0,36,0,0,1796,04,     0
land,0,36,0,0,1796,05,     0
land,0,36,0,0,1796,06,     0
land,0,36,0,0,1796,07,     0
land,0,36,0,0,1796,08,     0
land,0,36,0,0,1796,09,     0
land,0,36,0,0,1796,10,     0
land,0,36,0,0,1796,11,     0
land,0,36,0,0,1796,12,     0
land,0,36,0,0,1797,01,     0
land,0,36,0,0,1797,02,     0
land,0,36,0,0,1797,03,     0
land,0,36,0,0,1797,04,     0
land,0,36,0,0,1797,05,     0
land,0,36,0,0,1797,06,     0
land,0,36,0,0,1797,07,     0
land,0,36,0,0,1797,08,     0
land,0,36,0,0,1797,09,     0
land,0,36,0,0,1797,10,     0
land,0,36,0,0,1797,11,     0
land,0,36,0,0,1797,12,     0
land,0,36,0,0,1798,01,     0
land,0,36,0,0,1798,02,     0
land,0,36,0,0,1798,03,     0
land,0,36,0,0,1798,04,     0
land,0,36,0,0,1798,05,     0
land,0,36,0,0,1798,06,     0
land,0,36,0,0,1798,07,     0
land,0,36,0,0,1798,08,     0
land,0,36,0,0,1798,09,     0
land,0,36,0,0,1798,10,     0
land,0,36,0,0,1798,11,     0
land,0,36,0,0,1798,12,     0
land,0,36,0,0,1799,01,     0
land,0,36,0,0,1799,02,     0
land,0,36,0,0,1799,03,     0
land,0,36,0,0,1799,04,     0
land,0,36,0,0,1799,05,     0
land,0,36,0,0,1799,06,     0
land,0,36,0,0,1799,07,     0
land,0,36,0,0,1799,08,     0
land,0,36,0,0,1799,09,     0
land,0,36,0,0,1799,10,     0
land,0,36,0,0,1799,11,     0
land,0,36,0,0,1799,12,     0
land,0,36,0,0,1800,01,     0
land,0,36,0,0,1800,02,     0
land,0,36,0,0,1800,03,     0
land,0,36,0,0,1800,04,     0
land,0,36,0,0,1800,05,     0
land,0,36,0,0,1800,06,     0
land,0,36,0,0,1800,07,     0
land,0,36,0,0,1800,08,     0
land,0,36,0,0,1800,09,     0
land,0,36,0,0,1800,10,     0
land,0,36,0,0,1800,11,     0
land,0,36,0,0,1800,12,     0
land,0,36,0,0,1801,01,     0
land,0,36,0,0,1801,02,     0
land,0,36,0,0,1801,03,     0
land,0,36,0,0,1801,04,     0
land,0,36,0,0,1801,05,     0
land,0,36,0,0,1801,06,     0
land,0,36,0,0,1801,07,     0
land,0,36,0,0,1801,08,     0
land,0,36,0,0,1801,09,     0
land,0,36,0,0,1801,10,     0
land,0,36,0,0,1801,11,     0
land,0,36,0,0,1801,12,     0
land,0,36,0,0,1802,01,     0
land,0,36,0,0,1802,02,     0
land,0,36,0,0,1802,03,     0
land,0,36,0,0,1802,04,     0
land,0,36,0,0,1802,05,     0
land,0,36,0,0,1802,06,     0
land,0,36,0,0,1802,07,     0
land,0,36,0,0,1802,08,     0
land,0,36,0,0,1802,09,     0
land,0,36,0,0,1802,10,     0
land,0,36,0,0,1802,11,     0
land,0,36,0,0,1802,12,     0
land,0,36,0,0,1803,01,     0
land,0,36,0,0,1803,02,     0
land,0,36,0,0,1803,03,     0
land,0,36,0,0,1803,04,     0
land,0,36,0,0,1803,05,     0
land,0,36,0,0,1803,06,     0
land,0,36,0,0,1803,07,     0
land,0,36,0,0,1803,08,     0
land,0,36,0,0,1803,09,     0
land,0,36,0,0,1803,10,     0
land,0,36,0,0,1803,11,     0
land,0,36,0,0,1803,12,     0
land,0,36,0,0,1804,01,     0
land,0,36,0,0,1804,02,     0
land,0,36,0,0,1804,03,     0
land,0,36,0,0,1804,04,     0
land,0,36,0,0,1804,05,     0
land,0,36,0,0,1804,06,     0
land,0,36,0,0,1804,07,     0
land,0,36,0,0,1804,08,     0
land,0,36,0,0,1804,09,     0
land,0,36,0,0,1804,10,     0
land,0,36,0,0,1804,11,     0
land,0,36,0,0,1804,12,     0
land,0,36,0,0,1805,01,     0
land,0,36,0,0,1805,02,     0
land,0,36,0,0,1805,03,     0
land,0,36,0,0,1805,04,     0
land,0,36,0,0,1805,05,     0
