path_prefix|batch_id|of_n_batches|batch_length
daily/CDM_lite_FirstRelease_ASN00038*|daily-CDM_lite_FirstRelease_ASN00038|5489|5
daily/CDM_lite_FirstRelease_ASN00039*|daily-CDM_lite_FirstRelease_ASN00039|5489|26
daily/CDM_lite_FirstRelease_ASN00040*|daily-CDM_lite_FirstRelease_ASN00040|5489|59
daily/CDM_lite_FirstRelease_ASN00041*|daily-CDM_lite_FirstRelease_ASN00041|5489|19
daily/CDM_lite_FirstRelease_ASN00042*|daily-CDM_lite_FirstRelease_ASN00042|5489|2
daily/CDM_lite_FirstRelease_ASN00043*|daily-CDM_lite_FirstRelease_ASN00043|5489|8
daily/CDM_lite_FirstRelease_ASN00044*|daily-CDM_lite_FirstRelease_ASN00044|5489|6
daily/CDM_lite_FirstRelease_ASN00045*|daily-CDM_lite_FirstRelease_ASN00045|5489|5
daily/CDM_lite_FirstRelease_ASN00046*|daily-CDM_lite_FirstRelease_ASN00046|5489|8
daily/CDM_lite_FirstRelease_ASN00047*|daily-CDM_lite_FirstRelease_ASN00047|5489|8
daily/CDM_lite_FirstRelease_ASN00048*|daily-CDM_lite_FirstRelease_ASN00048|5489|12
daily/CDM_lite_FirstRelease_ASN00049*|daily-CDM_lite_FirstRelease_ASN00049|5489|5
daily/CDM_lite_FirstRelease_ASN00050*|daily-CDM_lite_FirstRelease_ASN00050|5489|7
daily/CDM_lite_FirstRelease_ASN00051*|daily-CDM_lite_FirstRelease_ASN00051|5489|9
daily/CDM_lite_FirstRelease_ASN00052*|daily-CDM_lite_FirstRelease_ASN00052|5489|3
daily/CDM_lite_FirstRelease_ASN00053*|daily-CDM_lite_FirstRelease_ASN00053|5489|6
daily/CDM_lite_FirstRelease_ASN00054*|daily-CDM_lite_FirstRelease_ASN00054|5489|6
daily/CDM_lite_FirstRelease_ASN00055*|daily-CDM_lite_FirstRelease_ASN00055|5489|7
daily/CDM_lite_FirstRelease_ASN00056*|daily-CDM_lite_FirstRelease_ASN00056|5489|18
daily/CDM_lite_FirstRelease_ASN00057*|daily-CDM_lite_FirstRelease_ASN00057|5489|5
daily/CDM_lite_FirstRelease_ASN00058*|daily-CDM_lite_FirstRelease_ASN00058|5489|22
daily/CDM_lite_FirstRelease_ASN00059*|daily-CDM_lite_FirstRelease_ASN00059|5489|11
daily/CDM_lite_FirstRelease_ASN00060*|daily-CDM_lite_FirstRelease_ASN00060|5489|13
daily/CDM_lite_FirstRelease_ASN00061*|daily-CDM_lite_FirstRelease_ASN00061|5489|38
daily/CDM_lite_FirstRelease_ASN00062*|daily-CDM_lite_FirstRelease_ASN00062|5489|6
daily/CDM_lite_FirstRelease_ASN00063*|daily-CDM_lite_FirstRelease_ASN00063|5489|35
daily/CDM_lite_FirstRelease_ASN00064*|daily-CDM_lite_FirstRelease_ASN00064|5489|4
daily/CDM_lite_FirstRelease_ASN00065*|daily-CDM_lite_FirstRelease_ASN00065|5489|13
daily/CDM_lite_FirstRelease_ASN00066*|daily-CDM_lite_FirstRelease_ASN00066|5489|15
daily/CDM_lite_FirstRelease_ASN00067*|daily-CDM_lite_FirstRelease_ASN00067|5489|16
daily/CDM_lite_FirstRelease_ASN00068*|daily-CDM_lite_FirstRelease_ASN00068|5489|21
daily/CDM_lite_FirstRelease_ASN00069*|daily-CDM_lite_FirstRelease_ASN00069|5489|19
daily/CDM_lite_FirstRelease_ASN00070*|daily-CDM_lite_FirstRelease_ASN00070|5489|34
daily/CDM_lite_FirstRelease_ASN00071*|daily-CDM_lite_FirstRelease_ASN00071|5489|7
daily/CDM_lite_FirstRelease_ASN00072*|daily-CDM_lite_FirstRelease_ASN00072|5489|20
daily/CDM_lite_FirstRelease_ASN00073*|daily-CDM_lite_FirstRelease_ASN00073|5489|18
daily/CDM_lite_FirstRelease_ASN00074*|daily-CDM_lite_FirstRelease_ASN00074|5489|20
daily/CDM_lite_FirstRelease_ASN00075*|daily-CDM_lite_FirstRelease_ASN00075|5489|10
daily/CDM_lite_FirstRelease_ASN00076*|daily-CDM_lite_FirstRelease_ASN00076|5489|6
daily/CDM_lite_FirstRelease_ASN00077*|daily-CDM_lite_FirstRelease_ASN00077|5489|6
daily/CDM_lite_FirstRelease_ASN00078*|daily-CDM_lite_FirstRelease_ASN00078|5489|8
